,Id,Artist,Song
20,3TVXtAsR1Inumwj472S9r4,Drake,"{'name': ""Jake's Piano - Long Island"", 'track_number': 9, 'id': '2pUYbyOIOSfDfsnCR3KceZ', 'url': 'https://open.spotify.com/track/2pUYbyOIOSfDfsnCR3KceZ', 'audio_feature': [{'danceability': 0.435, 'energy': 0.401, 'key': 0, 'loudness': -7.885, 'mode': 1, 'speechiness': 0.0434, 'acousticness': 0.782, 'instrumentalness': 0.000676, 'liveness': 0.113, 'valence': 0.0911, 'tempo': 84.001, 'type': 'audio_features', 'id': '2pUYbyOIOSfDfsnCR3KceZ', 'uri': 'spotify:track:2pUYbyOIOSfDfsnCR3KceZ', 'track_href': 'https://api.spotify.com/v1/tracks/2pUYbyOIOSfDfsnCR3KceZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2pUYbyOIOSfDfsnCR3KceZ', 'duration_ms': 319196, 'time_signature': 4}]}"
21,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,"{'name': 'El Dorado', 'track_number': 10, 'id': '7C1BLYzAvR0KdBpov3GpUZ', 'url': 'https://open.spotify.com/track/7C1BLYzAvR0KdBpov3GpUZ', 'audio_feature': [{'danceability': 0.351, 'energy': 0.593, 'key': 3, 'loudness': -5.549, 'mode': 1, 'speechiness': 0.0267, 'acousticness': 0.678, 'instrumentalness': 5.54e-05, 'liveness': 0.117, 'valence': 0.358, 'tempo': 92.263, 'type': 'audio_features', 'id': '7C1BLYzAvR0KdBpov3GpUZ', 'uri': 'spotify:track:7C1BLYzAvR0KdBpov3GpUZ', 'track_href': 'https://api.spotify.com/v1/tracks/7C1BLYzAvR0KdBpov3GpUZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7C1BLYzAvR0KdBpov3GpUZ', 'duration_ms': 182855, 'time_signature': 4}]}"
22,4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,"{'name': 'I Remember Everything (feat. Kacey Musgraves)', 'track_number': 11, 'id': '4KULAymBBJcPRpk1yO4dOG', 'url': 'https://open.spotify.com/track/4KULAymBBJcPRpk1yO4dOG', 'audio_feature': [{'danceability': 0.429, 'energy': 0.453, 'key': 0, 'loudness': -7.746, 'mode': 1, 'speechiness': 0.0459, 'acousticness': 0.554, 'instrumentalness': 2e-06, 'liveness': 0.102, 'valence': 0.155, 'tempo': 77.639, 'type': 'audio_features', 'id': '4KULAymBBJcPRpk1yO4dOG', 'uri': 'spotify:track:4KULAymBBJcPRpk1yO4dOG', 'track_href': 'https://api.spotify.com/v1/tracks/4KULAymBBJcPRpk1yO4dOG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4KULAymBBJcPRpk1yO4dOG', 'duration_ms': 227196, 'time_signature': 4}]}"
23,12GqGscKJx3aE4t07u7eVZ,Peso Pluma,"{'name': 'Tourniquet', 'track_number': 12, 'id': '3EvZ03hGAFwGZ2Ebcu86YH', 'url': 'https://open.spotify.com/track/3EvZ03hGAFwGZ2Ebcu86YH', 'audio_feature': [{'danceability': 0.593, 'energy': 0.397, 'key': 6, 'loudness': -8.309, 'mode': 1, 'speechiness': 0.0329, 'acousticness': 0.684, 'instrumentalness': 7.44e-06, 'liveness': 0.0982, 'valence': 0.32, 'tempo': 76.703, 'type': 'audio_features', 'id': '3EvZ03hGAFwGZ2Ebcu86YH', 'uri': 'spotify:track:3EvZ03hGAFwGZ2Ebcu86YH', 'track_href': 'https://api.spotify.com/v1/tracks/3EvZ03hGAFwGZ2Ebcu86YH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3EvZ03hGAFwGZ2Ebcu86YH', 'duration_ms': 189053, 'time_signature': 4}]}"
24,718COspgdWOnwOFpJHRZHS,Luke Combs,"{'name': 'Spotless (feat. The Lumineers)', 'track_number': 13, 'id': '0HEytGQM3bG1vKxER7IgVK', 'url': 'https://open.spotify.com/track/0HEytGQM3bG1vKxER7IgVK', 'audio_feature': [{'danceability': 0.604, 'energy': 0.444, 'key': 0, 'loudness': -7.695, 'mode': 1, 'speechiness': 0.0698, 'acousticness': 0.409, 'instrumentalness': 0, 'liveness': 0.0837, 'valence': 0.169, 'tempo': 72.129, 'type': 'audio_features', 'id': '0HEytGQM3bG1vKxER7IgVK', 'uri': 'spotify:track:0HEytGQM3bG1vKxER7IgVK', 'track_href': 'https://api.spotify.com/v1/tracks/0HEytGQM3bG1vKxER7IgVK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0HEytGQM3bG1vKxER7IgVK', 'duration_ms': 169467, 'time_signature': 4}]}"
25,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,"{'name': 'Tradesman', 'track_number': 14, 'id': '6Otmq7JokHh38wKSqUimcS', 'url': 'https://open.spotify.com/track/6Otmq7JokHh38wKSqUimcS', 'audio_feature': [{'danceability': 0.533, 'energy': 0.389, 'key': 0, 'loudness': -8.428, 'mode': 1, 'speechiness': 0.051, 'acousticness': 0.85, 'instrumentalness': 0.0012, 'liveness': 0.104, 'valence': 0.164, 'tempo': 76.77, 'type': 'audio_features', 'id': '6Otmq7JokHh38wKSqUimcS', 'uri': 'spotify:track:6Otmq7JokHh38wKSqUimcS', 'track_href': 'https://api.spotify.com/v1/tracks/6Otmq7JokHh38wKSqUimcS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Otmq7JokHh38wKSqUimcS', 'duration_ms': 187729, 'time_signature': 3}]}"
26,4q3ewBCX7sLwd24euuV69X,Bad Bunny,"{'name': 'Smaller Acts', 'track_number': 15, 'id': '67aaFVnfvFWjxVQMd0jDb5', 'url': 'https://open.spotify.com/track/67aaFVnfvFWjxVQMd0jDb5', 'audio_feature': [{'danceability': 0.595, 'energy': 0.41, 'key': 0, 'loudness': -5.079, 'mode': 1, 'speechiness': 0.0257, 'acousticness': 0.776, 'instrumentalness': 4.27e-06, 'liveness': 0.224, 'valence': 0.141, 'tempo': 83.308, 'type': 'audio_features', 'id': '67aaFVnfvFWjxVQMd0jDb5', 'uri': 'spotify:track:67aaFVnfvFWjxVQMd0jDb5', 'track_href': 'https://api.spotify.com/v1/tracks/67aaFVnfvFWjxVQMd0jDb5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/67aaFVnfvFWjxVQMd0jDb5', 'duration_ms': 187271, 'time_signature': 4}]}"
27,33NVpKoXjItPwUJTMZIOiY,David Kushner,"{'name': 'Oklahoman Son', 'track_number': 16, 'id': '4ueTr01dkL360w1knfh21C', 'url': 'https://open.spotify.com/track/4ueTr01dkL360w1knfh21C', 'audio_feature': [{'danceability': 0.635, 'energy': 0.114, 'key': 4, 'loudness': -12.176, 'mode': 1, 'speechiness': 0.0522, 'acousticness': 0.819, 'instrumentalness': 6.35e-06, 'liveness': 0.0797, 'valence': 0.0998, 'tempo': 72.401, 'type': 'audio_features', 'id': '4ueTr01dkL360w1knfh21C', 'uri': 'spotify:track:4ueTr01dkL360w1knfh21C', 'track_href': 'https://api.spotify.com/v1/tracks/4ueTr01dkL360w1knfh21C', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4ueTr01dkL360w1knfh21C', 'duration_ms': 249453, 'time_signature': 1}]}"
28,6dLuQ5qXxIuWc5urxfIiZR,Calle 24,"{'name': 'greedy', 'track_number': 1, 'id': '3rUGC1vUpkDG9CZFHMur1t', 'url': 'https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t', 'audio_feature': [{'danceability': 0.75, 'energy': 0.733, 'key': 6, 'loudness': -3.18, 'mode': 0, 'speechiness': 0.0319, 'acousticness': 0.256, 'instrumentalness': 0, 'liveness': 0.114, 'valence': 0.844, 'tempo': 111.018, 'type': 'audio_features', 'id': '3rUGC1vUpkDG9CZFHMur1t', 'uri': 'spotify:track:3rUGC1vUpkDG9CZFHMur1t', 'track_href': 'https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t', 'duration_ms': 131872, 'time_signature': 1}]}"
29,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,"{'name': 'Virginia Beach', 'track_number': 1, 'id': '3eP13S8D5m2cweMEg3ZDed', 'url': 'https://open.spotify.com/track/3eP13S8D5m2cweMEg3ZDed', 'audio_feature': [{'danceability': 0.402, 'energy': 0.514, 'key': 1, 'loudness': -7.322, 'mode': 0, 'speechiness': 0.0471, 'acousticness': 0.106, 'instrumentalness': 0, 'liveness': 0.181, 'valence': 0.2, 'tempo': 120.009, 'type': 'audio_features', 'id': '3eP13S8D5m2cweMEg3ZDed', 'uri': 'spotify:track:3eP13S8D5m2cweMEg3ZDed', 'track_href': 'https://api.spotify.com/v1/tracks/3eP13S8D5m2cweMEg3ZDed', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3eP13S8D5m2cweMEg3ZDed', 'duration_ms': 251095, 'time_signature': 4}]}"
